Date,Close,High,Low,Open,Volume
2025-08-18,7.210000038146973,7.309999942779541,6.855000019073486,7.039999961853027,4082700
2025-08-19,6.739999771118164,7.204999923706055,6.679999828338623,7.190000057220459,4569800
2025-08-20,6.739999771118164,6.827000141143799,6.36299991607666,6.619999885559082,4926300
2025-08-21,6.789999961853027,6.949999809265137,6.551000118255615,6.619999885559082,3525900
2025-08-22,7.170000076293945,7.309999942779541,6.699999809265137,6.710000038146973,5974600
2025-08-25,7.679999828338623,7.744999885559082,6.960000038146973,7.159999847412109,6295000
2025-08-26,7.809999942779541,7.860000133514404,7.427000045776367,7.579999923706055,7174200
2025-08-27,7.300000190734863,7.849999904632568,7.289999961853027,7.829999923706055,4917300
2025-08-28,7.380000114440918,7.505000114440918,7.019999980926514,7.340000152587891,4385600
2025-08-29,7.090000152587891,7.360000133514404,6.781000137329102,7.360000133514404,4671300
2025-09-02,7.320000171661377,7.420000076293945,6.659999847412109,6.840000152587891,4571400
2025-09-03,7.090000152587891,7.519999980926514,7.074999809265137,7.449999809265137,3846500
2025-09-04,6.929999828338623,7.130000114440918,6.831999778747559,7.019999980926514,5277800
2025-09-05,7.110000133514404,7.320000171661377,6.675000190734863,7.019999980926514,4213400
2025-09-08,7.690000057220459,7.940000057220459,7.179999828338623,7.179999828338623,10369100
2025-09-09,7.820000171661377,7.855000019073486,7.309999942779541,7.699999809265137,7795100
2025-09-10,7.369999885559082,8.180000305175781,7.369999885559082,8.010000228881836,9290500
2025-09-11,8.140000343322754,8.470000267028809,7.409999847412109,7.679999828338623,13850400
2025-09-12,8.130000114440918,8.34000015258789,7.960000038146973,8.119999885559082,6038700
2025-09-15,8.369999885559082,8.760000228881836,8.170000076293945,8.399999618530273,8758200
2025-09-16,9.140000343322754,9.239999771118164,8.079999923706055,8.399999618530273,11617900
2025-09-17,10.390000343322754,10.430000305175781,8.90999984741211,9.149999618530273,16342600
